[2019-05-17 13:32:26,734] [INFO] [Loading the datasets...]
[2019-05-18 05:38:46,405] [INFO] [- Val ROC AUC score: 0.9574188042543366]
[2019-05-18 05:38:46,406] [INFO] [Val confusion matrix:]
[2019-05-18 05:38:46,406] [INFO] [[92856 22107]]
[2019-05-18 05:38:46,406] [INFO] [[ 25568 313977]]
[2019-05-18 05:38:46,787] [INFO] [Epoch 6/50]
[2019-05-18 08:21:15,800] [INFO] [- Train metrics: accuracy: 0.925 - precision: 0.895 - recall: 0.916 - f1: 0.899 - loss: 0.174]
[2019-05-18 08:42:46,240] [INFO] [- Train ROC AUC score: 0.9831706234780617]
[2019-05-18 08:42:46,241] [INFO] [Train confusion matrix:]
[2019-05-18 08:42:46,241] [INFO] [[313662  32632]]
[2019-05-18 08:42:46,241] [INFO] [[ 49302 967928]]
[2019-05-18 08:49:59,153] [INFO] [- Eval metrics: accuracy: 0.893 - precision: 0.860 - recall: 0.855 - f1: 0.851 - loss: 0.233]
[2019-05-18 08:56:41,480] [INFO] [- Val ROC AUC score: 0.9571190862965797]
[2019-05-18 08:56:41,480] [INFO] [Val confusion matrix:]
[2019-05-18 08:56:41,480] [INFO] [[89487 25476]]
[2019-05-18 08:56:41,480] [INFO] [[ 23106 316439]]
[2019-05-18 08:56:41,884] [INFO] [Epoch 7/50]
[2019-05-18 11:39:23,513] [INFO] [- Train metrics: accuracy: 0.932 - precision: 0.904 - recall: 0.923 - f1: 0.908 - loss: 0.162]
[2019-05-18 12:00:55,323] [INFO] [- Train ROC AUC score: 0.9860276571121445]
[2019-05-18 12:00:55,324] [INFO] [Train confusion matrix:]
[2019-05-18 12:00:55,324] [INFO] [[309419  36875]]
[2019-05-18 12:00:55,324] [INFO] [[ 36052 981178]]
[2019-05-18 12:08:08,706] [INFO] [- Eval metrics: accuracy: 0.890 - precision: 0.860 - recall: 0.845 - f1: 0.845 - loss: 0.239]
[2019-05-18 12:14:51,453] [INFO] [- Val ROC AUC score: 0.9565469107999547]
[2019-05-18 12:14:51,453] [INFO] [Val confusion matrix:]
[2019-05-18 12:14:51,453] [INFO] [[86659 28304]]
[2019-05-18 12:14:51,454] [INFO] [[ 21500 318045]]
[2019-05-18 12:14:51,843] [INFO] [Epoch 8/50]
